#  i    j    k  func       th0       cth
  CA     C_2    HC      1   115.000    292.880   
  CT     CM     HC      1   117.000    292.880   
  HC     CM     HC      1   117.000    292.880   
  CT     CM     CT      1   130.000    585.760   
  CT     C+     CT      1   120.000   1445.990   
  CT     C+     HC      1   120.000   1204.992   
  CT     CT     C+      1   105.000    527.184   
  HC     CT     C+      1   105.000    292.880   
  CM     CM     N*      1   121.200    585.760   
  CM     CM     NA      1   121.200    585.760   
  HC     CM     N*      1   119.100    292.880   
  HC     CM     NA      1   119.100    292.880   
  CA     CN     CB      1   122.700    711.280   
  CA     CN     NA      1   132.800    585.760   
  CB     CA     CW      1   106.400    527.184   
  CB     CA     CT      1   128.600    585.760   
  CB     CN     NA      1   104.400    585.760   
  HA     CQ     NC      1   115.450    292.880   
  H5     CQ     NC      1   115.450    292.880   
  NC     CQ     NC      1   129.100    585.760   
  HA     CR     NA      1   120.000    292.880   
  HA     CX     NA      1   120.000    292.880   
  HA     CR     NB      1   120.000    292.880   
  HA     CK     N*      1   120.000    292.880   
  HA     CK     NA      1   120.000    292.880   
  HA     CK     NB      1   120.000    292.880   
  NA     CR     NA      1   120.000    585.760   
  NA     CR     NB      1   120.000    585.760   
  NA     CR     CT      1   125.000    585.760   
  NB     CR     CT      1   125.000    585.760   
  NA     CR     SY      1   120.000    585.760   
  NB     CR     SY      1   120.000    585.760   
  C      CT     CT      1   111.100    527.184   
  C_2    CT     CT      1   111.100    527.184   
  C_3    CT     CT      1   111.100    527.184   
  C      CT     CT_2    1   111.100    527.184   
  C_2    CT     CT_2    1   111.100    527.184   
  C_3    CT     CT_2    1   111.100    527.184   
  C      CT_2   CT      1   111.100    527.184   
  C_2    CT_2   CT      1   111.100    527.184   
  C_3    CT_2   CT      1   111.100    527.184   
  CM     CT     CT      1   111.100    527.184   
  CW     CT     HC      1   109.500    292.880   
  CV     CT     HC      1   109.500    292.880   
  CX     CT     HC      1   109.500    292.880   
  C      CT     HC      1   109.500    292.880   
  C_2    CT     HC      1   109.500    292.880   
  C_3    CT     HC      1   109.500    292.880   
  C      CT_2   HC      1   109.500    292.880   
  C_2    CT_2   HC      1   109.500    292.880   
  C_3    CT_2   HC      1   109.500    292.880   
  C      CT     N       1   110.100    527.184   
  C_2    CT     N       1   110.100    527.184   
  C_3    CT     N       1   110.100    527.184   
  C      CT_2   N       1   110.100    527.184   
  C_2    CT_2   N       1   110.100    527.184   
  C_3    CT_2   N       1   110.100    527.184   
  C      CT     NC      1   110.100    527.184   
  C_2    CT     NC      1   110.100    527.184   
  C_3    CT     NC      1   110.100    527.184   
  C*     CT     CT      1   115.600    527.184   
  C*     CT     CT_2    1   115.600    527.184   
  C*     CT     HC      1   109.500    292.880   
  CS     CT     CT      1   115.600    527.184   
  CS     CT     HC      1   109.500    292.880   
  CA     CT     CT      1   114.000    527.184   
  CA     CT     CT_2    1   114.000    527.184   
  CA     CT     HC      1   109.500    292.880   
  CW     CT     CT      1   114.000    527.184   
  CW     CT     CT_2    1   114.000    527.184   
  CV     CT     CT      1   114.000    527.184   
  CV     CT     CT_2    1   114.000    527.184   
  CX     CT     CT      1   114.000    527.184   
  CX     CT     CT_2    1   114.000    527.184   
  CM     CT     HC      1   109.500    292.880   
  C=     CT     HC      1   109.500    292.880   
  CT     CT     CT      1   112.700    488.273   
  CT_2   CT     CT      1   112.700    488.273   
  CT     CT_2   CT      1   112.700    488.273   
  CT     CT     CT_3    1   112.700    488.273   
  C3     CT     C3      1   109.500    334.720   
  C3     CT     C       1   109.500    527.184   
  CT_2   CT     HC      1   110.700    313.800   
  CT     CT_2   HC      1   110.700    313.800   
