1048  4
#  i     j       k     l                  coefficients(Kcal/mol) 
  C_2    OS     CT     CT       	    -1.2199976099  	-0.1260014340      0.4220004780      0.00000   
  C_2    OS     CT     HC       	    -0.0000023901  	0.0000000000      0.1979995220       0.00000   
  CT_3   N      C      O        	    0.0000000000  	6.0890009560      0.0000000000       0.00000   
  CT_3   N      C      CT       	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT_3   N      C      CT_2     	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT_3   N      CT_2   CT       	    4.7530019120  	-0.7339985660      0.0000000000      0.00000   
  CT_3   NT     CT_2   CT       	    4.7530019120  	-0.7339985660      0.0000000000      0.00000   
  CT_3   N      CT_2   HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT_3   NT     CT_2   HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT_3   CT     CT     HC       	    0.0000000000  	0.0000000000      0.3000000000       0.00000   
  CT_3   CT     CT     CT_2     	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CT_3   N3     CT_2   CT       	    4.7530019120  	-0.7339985660      0.0000000000      0.00000   
  CT_3   N3     CT_2   HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CQ     CT     CT     HC       	    -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  CR     CT     CT     HC       	    -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  CR     N*     CT     CT       	    -1.0000000000  	-0.3500000000      0.0000000000      0.00000   
  CR     N*     CT     OS       	    -1.5000000000  	-1.5000000000      0.0000000000      0.00000   
  CR     NA     CT     CT       	    -1.0000000000  	-0.3500000000      0.0000000000      0.00000   
  CR     NA     CT     OS       	    -1.5000000000  	-1.5000000000      0.0000000000      0.00000   
  CR     NA     CW     HA       	    0.0000000000  	3.2000000000      0.0000000000       0.00000   
  CR     NA     CX     CT       	    0.0000000000  	2.8000000000      0.0000000000       0.00000   
  CR     NA     CX     CX       	    0.0000000000  	2.8000000000      0.0000000000       0.00000   
  CR     NA     CX     HA       	    0.0000000000  	3.2000000000      0.0000000000       0.00000   
  CS     CT     CT     CT       	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CS     CT     CT     HC       	    -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  CT     C      C      N        	    -0.5000000000  	0.2000000000      0.0000000000       0.00000   
  CT     C      C      O        	    0.0000000000  	0.5000000000      0.0000000000       0.00000   
  CT     C      C      CT       	    0.7000000000  	-1.5000000000      0.0000000000      0.00000   
  CT     C      C      HC       	    0.8000000000  	-0.7600000000      0.0000000000      0.00000   
  CT     C      N      H        	    0.0000000000  	4.9000000000      0.0000000000       0.00000   
  CT     C      N      CT       	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT     C      N      OH       	    4.5419980880  	6.6029995220      1.0450000000       0.00000   
  CT     C      CT     CT       	    1.4540009560  	-0.1440009560      -0.7750000000     0.00000   
  CT     C      CT     HC       	    0.0000000000  	0.0000000000      0.2750000000       0.00000   
  CT     C      NC     CT       	    0.0000000000  	14.0000000000      0.0000000000      0.00000   
  CT     C      OH     HO       	    1.5000000000  	5.5000000000      0.0000000000       0.00000   
  CT_2   C      OH     HO       	    1.5000000000  	5.5000000000      0.0000000000       0.00000   
  CT     C      OS     CT       	    4.6689961759  	5.1239985660      0.0000000000       0.00000   
  CT     N      C      O        	    0.0000000000  	6.0890009560      0.0000000000       0.00000   
  CT     N      C      HC       	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT     N      C      OH       	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT     N      C      OS       	    2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CT     N      CA     N2       	    0.0000000000  	7.9359990440      0.0000000000       0.00000   
  CT     N      CT     HC       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     N      SY     CT       	    2.0739985660  	-2.9660014340      2.4729995220      0.00000   
  CT     S      S      CT       	    0.0000000000  	-7.4140009560      1.7050000000      0.00000   
  CT     S      CT     HC       	    0.0000023901  	0.0000000000      0.6470004780       0.00000   
  CT     C+     CT     CT       	    0.0000000000  	-1.0000000000      0.0000000000      0.00000   
  CT     C+     CT     HC       	    0.0000000000  	-1.0000000000      0.0000000000      0.00000   
  CT     C=     C=     HC       	    0.0000000000  	0.0000000000      0.3000000000       0.00000   
  CT     C=     CM     CT       	    0.0000000000  	14.0000000000      0.0000000000      0.00000   
  CT     C=     CM     HC       	    0.0000000000  	14.0000000000      0.0000000000      0.00000   
  CT     CM     C=     HC       	    0.0000000000  	14.0000000000      0.0000000000      0.00000   
  CT     CM     CT     CT       	    2.8170004780  	-0.1690009560      0.5429995220      0.00000   
  CT     CM     CT     HC       	    0.0000000000  	0.0000000000      0.3000000000       0.00000   
  CT     CM     OS     CT       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CT     CO     OS     CT       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CT     CT     C      F        	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CT     CT     C      N        	    3.2500011950  	-0.4019980880      -0.1360002390     0.00000   
