930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  S      CR     CA        	   70.00000             111.00000      
  S      CR     HA        	   35.00000             113.40000      
  S      CW     CV        	   70.00000             111.00000      
  S      CW     CS        	   70.00000             111.00000      
  S      CW     N         	   70.00000             115.00000      
  NA     CW     CS        	   70.00000             107.70000      
  CW     CS     CS        	   70.00000             107.30000      
  CW     CS     HA        	   35.00000             125.70000      
  CW     CS     C!        	   70.00000             125.70000      
  CS     CW     C!        	   70.00000             132.10000      
  CS     CS     C!        	   70.00000             127.50000      
  CS     CW     HA        	   35.00000             132.10000      
  CS     CW     CT        	   70.00000             132.10000      
  CS     CW     CA        	   70.00000             132.10000      
  CS     CS     HA        	   35.00000             127.50000      
  CU     NB     NA        	   70.00000             104.10000      
  CW     NB     NA        	   70.00000             104.10000      
  NB     CU     HA        	   35.00000             118.90000      
  NB     CU     CA        	   70.00000             111.90000      
  NB     CU     CT        	   70.00000             118.90000      
  NB     CW     CT        	   70.00000             118.90000      
  NB     CW     S         	   70.00000             115.00000      
  CU     CS     CW        	   70.00000             103.80000      
  CW     CS     CW        	   70.00000             103.80000      
  NB     CU     CS        	   70.00000             111.90000      
  NB     CW     CS        	   70.00000             111.90000      
  CA     CU     HA        	   35.00000             128.60000      
  CU     CA     HA        	   35.00000             128.20000      
  CU     CA     CW        	   70.00000             103.80000      
  CU     NB     OS        	   70.00000             105.30000      
  NB     NA     CW        	   56.00000             113.10000      
  CB     NA     NB        	   56.00000             113.10000      
  CR     NA     CT        	   70.00000             125.80000      
  CR     NA     NB        	   56.00000             113.10000      
  NB     NA     H         	   56.00000             118.40000      
  NB     NA     CA        	   70.00000             118.40000      
  NB     NA     CT        	   70.00000             118.40000      
  CW     OS     NB        	   70.00000             108.90000      
  NB     CR     OS        	   70.00000             115.00000      
  NB     CR     S         	   70.00000             115.00000      
  CR     OS     CW        	   70.00000             104.00000      
  CV     CW     OS        	   70.00000             108.00000      
  HA     CR     OS        	   35.00000             117.00000      
  OS     CM     HC        	   35.00000             114.50000      
  CB     CA     HA        	   35.00000             120.00000      
  CB     CA     N2        	   70.00000             123.50000      
  CB     CA     NC        	   70.00000             117.30000      
  CM     CA     N2        	   70.00000             120.10000      
  CA     CA     N2        	   70.00000             120.10000      
  CM     CA     NC        	   70.00000             121.50000      
  CM     CA     NA        	   70.00000             121.50000      
  CN     CA     HA        	   35.00000             120.00000      
  NY     CA     NY        	   70.00000             111.80000      
  NZ     CA     NY        	   70.00000             124.10000      
  CA     NZ     H         	   35.00000             113.00000      
  CA     NZ     H3        	   35.00000             113.00000      
  CA     NY     H         	   50.00000             112.50000      
  CA     NY     H3        	   50.00000             112.50000      
  CA     NY     CT        	   50.00000             120.50000      
  H      NY     H         	   43.60002             106.40000      
  H3     NY     H3        	   43.60002             106.40000      
  CT     NY     H         	   35.00000             109.50000      
  CT     NY     H3        	   35.00000             109.50000      
  CT     CT     NY        	   80.00000             111.20000      
  HC     CT     NY        	   35.00000             109.50000      
  N2     CA     N2        	   70.00000             120.00000      
  N2     CA     NA        	   70.00000             116.00000      
  N2     CA     NC        	   70.00000             119.30000      
  N2     CQ     NC        	   70.00000             119.30000      
  N2     CQ     N         	   70.00000             116.00000      
  NA     CA     NC        	   70.00000             123.30000      
  C      CB     CB        	   85.00000             119.20000      
  C_2    CB     CB        	   85.00000             119.20000      
  C_3    CB     CB        	   85.00000             119.20000      
  C      CB     NB        	   70.00000             130.00000      
  C_2    CB     NB        	   70.00000             130.00000      
  C_3    CB     NB        	   70.00000             130.00000      
  N      CQ     NC        	   70.00000             123.30000      
  C      CS     CW        	   70.00000             130.00000      
  C_2    CS     CW        	   70.00000             130.00000      
