816  2
# name            epsilon(Kcal/mol)  sigma(Angstrom) 
 opls_459           0.03000          2.50000         
 opls_460           0.07000          3.55000         
 opls_461           0.06600          3.50000         
 opls_462           0.03000          2.50000         
 opls_463           0.07000          3.55000         
 opls_465           0.10500          3.75000         
 opls_466           0.21000          2.96000         
 opls_467           0.17000          3.00000         
 opls_468           0.06600          3.50000         
 opls_469           0.01500          2.42000         
 opls_470           0.10500          3.75000         
 opls_471           0.10500          3.75000         
 opls_472           0.07000          3.55000         
 opls_473           0.17000          3.00000         
 opls_474           0.25000          3.55000         
 opls_475           0.17000          2.96000         
 opls_476           0.06600          3.50000         
 opls_477           0.03000          2.50000         
 opls_478           0.17000          3.25000         
 opls_479           0.00000          0.00000         
 opls_480           0.17000          3.25000         
 opls_481           0.00000          0.00000         
 opls_482           0.06600          3.50000         
 opls_483           0.03000          2.50000         
 opls_484           0.06600          3.50000         
 opls_485           0.03000          2.50000         
 opls_486           0.06600          3.50000         
 opls_487           0.03000          2.50000         
 opls_488           0.07000          3.55000         
 opls_490           0.06600          3.50000         
 opls_491           0.06600          3.50000         
 opls_492           0.06600          3.50000         
 opls_493           0.25000          3.55000         
 opls_494           0.17000          2.96000         
 opls_496           0.39500          3.56000         
 opls_497           0.28000          2.93000         
 opls_498           0.06600          3.50000         
 opls_499           0.06600          3.50000         
 opls_500           0.07000          3.55000         
 opls_501           0.07000          3.55000         
 opls_502           0.07000          3.55000         
 opls_503           0.17000          3.25000         
 opls_504           0.00000          0.00000         
 opls_505           0.06600          3.50000         
 opls_506           0.07000          3.55000         
 opls_507           0.07000          3.55000         
 opls_508           0.07000          3.55000         
 opls_509           0.07000          3.55000         
 opls_510           0.07000          3.55000         
 opls_511           0.17000          3.25000         
 opls_512           0.17000          3.25000         
 opls_513           0.00000          0.00000         
 opls_514           0.07000          3.55000         
 opls_515           0.06600          3.50000         
 opls_516           0.06600          3.50000         
 opls_517           0.07600          3.55000         
 opls_518           0.07600          3.55000         
 opls_520           0.17000          3.25000         
 opls_521           0.07000          3.55000         
 opls_522           0.07000          3.55000         
 opls_523           0.07000          3.55000         
 opls_524           0.03000          2.42000         
 opls_525           0.03000          2.42000         
 opls_526           0.03000          2.42000         
 opls_527           0.17000          3.25000         
 opls_528           0.07000          3.55000         
 opls_529           0.03000          2.42000         
 opls_530           0.17000          3.25000         
 opls_531           0.07000          3.55000         
 opls_532           0.07000          3.55000         
 opls_533           0.07000          3.55000         
 opls_534           0.03000          2.42000         
 opls_535           0.03000          2.42000         
 opls_536           0.03000          2.42000         
 opls_537           0.17000          3.25000         
 opls_538           0.07000          3.55000         
 opls_539           0.07000          3.55000         
 opls_540           0.03000          2.42000         
 opls_541           0.03000          2.42000         
 opls_542           0.17000          3.25000         
 opls_543           0.07000          3.55000         
 opls_544           0.07000          3.55000         
 opls_545           0.00000          0.00000         
 opls_546           0.03000          2.42000         
 opls_547           0.03000          2.42000         
 opls_548           0.17000          3.25000         
 opls_549           0.17000          3.25000         
 opls_550           0.07000          3.55000         
 opls_551           0.07000          3.55000         
 opls_552           0.07000          3.55000         
 opls_553           0.00000          0.00000         
 opls_554           0.03000          2.42000         
 opls_555           0.03000          2.42000         
 opls_556           0.03000          2.42000         
 opls_557           0.17000          3.25000         
 opls_558           0.07000          3.55000         
 opls_559           0.17000          3.25000         
 opls_560           0.07000          3.55000         
 opls_561           0.07000          3.55000         
 opls_562           0.00000          0.00000         
 opls_563           0.03000          2.42000         
 opls_564           0.03000          2.42000         
 opls_565           0.03000          2.42000         
 opls_566           0.14000          2.90000         
 opls_567           0.07000          3.55000         
 opls_568           0.07600          3.55000         
 opls_569           0.03000          2.42000         
 opls_570           0.03000          2.42000         
 opls_571           0.14000          2.90000         
 opls_572           0.07000          3.55000         
 opls_573           0.17000          3.25000         
 opls_574           0.07000          3.55000         
 opls_575           0.07000          3.55000         
 opls_576           0.03000          2.42000         
 opls_577           0.03000          2.42000         
 opls_578           0.03000          2.42000         
 opls_579           0.14000          2.90000         
 opls_580           0.17000          3.25000         
 opls_581           0.07000          3.55000         
 opls_582           0.07000          3.55000         
 opls_583           0.07000          3.55000         
 opls_584           0.03000          2.42000         
 opls_585           0.03000          2.42000         
 opls_586           0.03000          2.42000         
 opls_587           0.17000          3.25000         
 opls_588           0.07000          3.55000         
 opls_589           0.07000          3.55000         
 opls_590           0.07000          3.55000         
 opls_591           0.07000          3.55000         
 opls_592           0.07000          3.55000         
 opls_593           0.07000          3.55000         
 opls_594           0.07000          3.55000         
 opls_595           0.07000          3.55000         
 opls_596           0.00000          0.00000         
 opls_597           0.03000          2.42000         
 opls_598           0.03000          2.42000         
 opls_599           0.03000          2.42000         
 opls_600           0.03000          2.42000         
 opls_601           0.03000          2.42000         
 opls_602           0.03000          2.42000         
 opls_603           0.17000          3.25000         
 opls_604           0.07000          3.55000         
 opls_605           0.07000          3.55000         
 opls_606           0.07000          3.55000         
 opls_607           0.07000          3.55000         
 opls_608           0.07000          3.55000         
 opls_609           0.07000          3.55000         
 opls_610           0.07000          3.55000         
 opls_611           0.07000          3.55000         
 opls_612           0.07000          3.55000         
 opls_613           0.03000          2.42000         
 opls_614           0.03000          2.42000         
 opls_615           0.03000          2.42000         
 opls_616           0.03000          2.42000         
 opls_617           0.03000          2.42000         
 opls_618           0.03000          2.42000         
 opls_619           0.03000          2.42000         
 opls_620           0.17000          3.25000         
 opls_621           0.07000          3.55000         
 opls_622           0.17000          3.25000         
 opls_623           0.07000          3.55000         
 opls_624           0.07000          3.55000         
 opls_625           0.07000          3.55000         
 opls_626           0.17000          3.25000         
 opls_627           0.07000          3.55000         
 opls_628           0.17000          3.25000         
 opls_629           0.03000          2.42000         
 opls_630           0.03000          2.42000         
 opls_631           0.03000          2.42000         
 opls_632           0.00000          0.00000         
 opls_633           0.25000          3.55000         
 opls_634           0.07000          3.55000         
 opls_635           0.17000          3.25000         
 opls_636           0.07000          3.55000         
 opls_637           0.07000          3.55000         
 opls_638           0.03000          2.42000         
 opls_639           0.03000          2.42000         
 opls_640           0.03000          2.42000         
 opls_641           0.17000          3.25000         
 opls_642           0.07000          3.55000         
 opls_643           0.03000          2.42000         
 opls_644           0.07000          3.55000         
 opls_645           0.06600          3.50000         
 opls_646           0.17000          3.25000         
 opls_647           0.07000          3.55000         
 opls_648           0.07000          3.55000         
 opls_649           0.07000          3.55000         
 opls_650           0.07000          3.55000         
 opls_651           0.07000          3.55000         
 opls_652           0.07000          3.55000         
 opls_653           0.03000          2.42000         
 opls_654           0.03000          2.42000         
 opls_655           0.03000          2.42000         
 opls_656           0.03000          2.42000         
 opls_670           0.06600          3.50000         
 opls_671           0.06600          3.50000         
 opls_672           0.06600          3.50000         
 opls_673           0.06600          3.50000         
 opls_674           0.06600          3.50000         
 opls_675           0.06600          3.50000         
 opls_676           0.06600          3.50000         
 opls_677           0.06600          3.50000         
 opls_678           0.06600          3.50000         
 opls_679           0.06600          3.50000         
 opls_680           0.06600          3.50000         
 opls_681           0.06600          3.50000         
 opls_697           0.05400          3.47300         
 opls_698           0.05000          3.30000         
 opls_699           0.05000          3.30000         
 opls_700           0.07600          3.55000         
 opls_701           0.06600          3.50000         
 opls_702           0.03000          2.50000         
 opls_703           0.06000          3.75000         
 opls_704           0.05400          3.47300         
 opls_705           0.05000          3.30000         
 opls_706           0.05000          3.30000         
 opls_707           0.04000          2.95000         
 opls_708           0.07600          3.55000         
 opls_709           0.30000          3.40000         
 opls_710           0.03000          2.42000         
 opls_711           0.06600          3.50000         
 opls_712           0.06600          3.50000         
 opls_713           0.06600          3.50000         
 opls_714           0.07000          3.55000         
 opls_715           0.03000          2.42000         
 opls_716           0.07000          3.55000         
 opls_717           0.03000          2.42000         
 opls_718           0.07000          3.55000         
 opls_719           0.06100          2.85000         
 opls_720           0.07000          3.55000         
 opls_721           0.06100          2.85000         
 opls_722           0.47000          3.47000         
 opls_724           0.07000          3.55000         
 opls_725           0.06200          3.25000         
 opls_726           0.06100          2.94000         
 opls_727           0.07000          3.55000         
 opls_728           0.06100          2.85000         
 opls_729           0.07000          3.55000         
 opls_730           0.47000          3.47000         
 opls_731           0.07000          3.55000         
 opls_732           0.58000          3.67000         
 opls_733           0.06600          3.50000         
 opls_734           0.25000          3.55000         
 opls_735           0.07000          3.55000         
 opls_736           0.07000          3.55000         
 opls_737           0.07000          3.55000         
 opls_738           0.07000          3.55000         
 opls_739           0.07000          3.55000         
 opls_740           0.03000          2.42000         
 opls_741           0.03000          2.42000         
 opls_742           0.05000          2.25000         
 opls_743           0.17000          3.25000         
 opls_744           0.00000          0.00000         
 opls_745           0.00000          0.00000         
 opls_746           0.03000          2.42000         
 opls_747           0.06600          3.50000         
 opls_748           0.06600          3.50000         
 opls_749           0.17000          3.25000         
 opls_750           0.17000          3.25000         
 opls_751           0.17000          3.25000         
 opls_752           0.05000          2.25000         
 opls_753           0.17000          3.20000         
 opls_754           0.06600          3.30000         
 opls_755           0.06600          3.30000         
 opls_756           0.06600          3.30000         
 opls_757           0.06600          3.30000         
 opls_758           0.06600          3.30000         
 opls_759           0.01500          2.50000         
 opls_760           0.12000          3.25000         
 opls_761           0.17000          2.96000         
 opls_762           0.06600          3.50000         
 opls_763           0.01500          2.50000         
 	opls_764           0.06600          3.50000         
 opls_765           0.06600          3.50000         
 opls_766           0.06600          3.50000         
 opls_767           0.12000          3.25000         
 opls_768           0.07000          3.55000         
 opls_771           0.21000          2.96000         
 opls_772           0.10500          3.75000         
 opls_773           0.17000          3.00000         
 opls_774           0.06600          3.50000         
 opls_775           0.06600          3.50000         
 opls_776           0.06600          3.50000         
 opls_777           0.01500          2.42000         
 opls_778           0.01500          2.42000         
 opls_779           0.01500          2.42000         
 opls_781           0.20000          3.74000         
 opls_782           0.06600          3.50000         
 opls_783           0.06600          3.50000         
 opls_784           0.03000          2.50000         
 opls_785           0.20000          3.74000         
 opls_786           0.06100          3.11810         
 opls_787           0.17000          3.15000         
 opls_788           0.21000          2.86000         
 opls_795           0.14000          3.21500         
 opls_796           0.00000          0.00000         
 opls_797           0.00000          0.00000         
 opls_900           0.17000          3.30000         
 opls_901           0.17000          3.30000         
 opls_902           0.17000          3.30000         
 opls_903           0.06600          3.50000         
 opls_904           0.06600          3.50000         
 opls_905           0.06600          3.50000         
 opls_906           0.06600          3.50000         
 opls_906B          0.06600          3.50000         
 opls_907           0.06600          3.50000         
 opls_908           0.06600          3.50000         
 opls_909           0.00000          0.00000         
 opls_910           0.00000          0.00000         
 opls_911           0.01500          2.50000         
