816 1
# name  bond_type 
 opls_603   NC  
 opls_604   CA  
 opls_605   CA  
 opls_606   CA  
 opls_607   CA  
 opls_608   CA  
 opls_609   CA  
 opls_610   CA  
 opls_611   CA  
 opls_612   CA  
 opls_613   HA  
 opls_614   HA  
 opls_615   HA  
 opls_616   HA  
 opls_617   HA  
 opls_618   HA  
 opls_619   HA  
 opls_620   NC  
 opls_621   CQ  
 opls_622   NC  
 opls_623   CB  
 opls_624   CB  
 opls_625   CA  
 opls_626   NB  
 opls_627   CK  
 opls_628   NA  
 opls_629   HA  
 opls_630   HA  
 opls_631   HA  
 opls_632   H   
 opls_633   S   
 opls_634   CR  
 opls_635   NB  
 opls_636   CV  
 opls_637   CW  
 opls_638   HA  
 opls_639   HA  
 opls_640   HA  
 opls_641   NC  
 opls_642   CQ  
 opls_643   HA  
 opls_644   CA  
 opls_645   CT  
 opls_646   NC  
 opls_647   CA  
 opls_648   CA  
 opls_649   CA  
 opls_650   CA  
 opls_651   CA  
 opls_652   CA  
 opls_653   HA  
 opls_654   HA  
 opls_655   HA  
 opls_656   HA  
 opls_670   CT  
 opls_671   CT  
 opls_672   CT  
 opls_673   CT  
 opls_674   CT  
 opls_675   CT  
 opls_676   CT  
 opls_677   CT  
 opls_678   CT  
 opls_679   CT  
 opls_680   CT  
 opls_681   CT  
 opls_697   Ac3+
 opls_698   Th4+
 opls_699   Am3+
 opls_700   C+  
 opls_701   CT  
 opls_702   HC  
 opls_703   La3+
 opls_704   Nd3+
 opls_705   Eu3+
 opls_706   Gd3+
 opls_707   Yb3+
 opls_708   CM  
 opls_709   Cl- 
 opls_710   HC  
 opls_711   CY  
 opls_712   CY  
 opls_713   CY  
 opls_714   CA  
 opls_715   HA  
 opls_716   CA  
 opls_717   HA  
 opls_718   CA  
 opls_719   F   
 opls_720   CA  
 opls_721   F   
 opls_722   Br  
 opls_724   CA  
 opls_725   CT  
 opls_726   F   
 opls_727   CA  
 opls_728   F   
 opls_729   CA  
 opls_730   Br  
 opls_731   CA  
 opls_732   I   
 opls_733   CY  
 opls_734   SH  
 opls_735   CA  
