820 1
# name         charge(e)
 opls_732       -0.100     
 opls_733       0.055      
 opls_734      -0.220      
 opls_735       0.065      
 opls_736       0.013      
 opls_737      -0.106      
 opls_738      -0.090      
 opls_739      -0.119      
 opls_740       0.141      
 opls_741       0.129      
 opls_742       0.827      
 opls_743      -0.885      
 opls_744       0.426      
 opls_745       0.465      
 opls_746       0.119      
 opls_747      -0.020      
 opls_748       0.040      
 opls_749      -0.620      
 opls_750      -0.785      
 opls_751      -0.785      
 opls_752       0.550      
 opls_753      -0.560      
 opls_754       0.460      
 opls_755      -0.080      
 opls_756      -0.020      
 opls_757       0.040      
 opls_758       0.100      
 opls_759       0.060      
 opls_760       0.540      
 opls_761      -0.370      
 opls_762       0.020      
 opls_763       0.060      
 opls_764       0.080      
 opls_765       0.140      
 opls_766       0.200      
 opls_767       0.650      
 opls_768       0.090      
 opls_771      -0.500      
 opls_772       0.860      
 opls_773      -0.450      
 opls_774       0.210      
 opls_775       0.160      
 opls_776      -0.100      
 opls_777       0.030      
 opls_778       0.030      
 opls_779       0.060      
 opls_781       0.968      
 opls_782      -0.508      
 opls_783      -0.008      
 opls_784       0.172      
 opls_785       1.340      
 opls_786      -0.390      
 opls_787       0.794      
 opls_788      -0.598      
 opls_795       0.000      
 opls_796       0.511      
 opls_797      -1.022      
 opls_900      -0.900      
 opls_901      -0.780      
 opls_902      -0.630      
 opls_903       0.000      
 opls_904       0.020      
 opls_905       0.030      
 opls_906       0.060      
 opls_906B      0.060      
 opls_907       0.080      
 opls_908       0.090      
 opls_909       0.360      
 opls_910       0.380      
 opls_911       0.060      
 opls_912       0.120      
 opls_912B      0.120      
 opls_913       0.180      
 opls_914       0.140      
 opls_915       0.150      
 opls_916       0.180      
 opls_917       0.200      
 opls_918       0.210      
 opls_925      -0.210      
 opls_926       0.200      
 opls_927       0.010      
 opls_928       0.010      
 opls_929       0.010      
 opls_930       0.060      
 opls_931       0.000      
 opls_940      -0.100      
 opls_941       0.290      
 opls_942       0.090      
 opls_943       0.150      
 opls_944       0.210      
 opls_945       0.270      
 opls_950       0.074      
 opls_951      -0.029      
 opls_952       0.700      
 opls_953      -0.352      
 opls_954      -0.709      
 opls_955       0.317      
 opls_956      -0.220      
 opls_957       0.020      
 opls_958       0.100      
 opls_959       0.120      
 opls_960       0.220      
 opls_961       0.360      
 opls_962       0.240      
 opls_963       0.120      
 opls_964       0.480      
 opls_965      -0.120      
 MW_tip4pew    -1.04844
 HW_tip4pew     0.52422
 OW_tip4pew     0.00000
